join;sample_concat;jump_concat;jump_crossfade
1;2976;0.00000194;0.00000000
2;6945;0.00036368;0.00000000
3;9921;0.00009528;0.00000000
4;13890;0.00036368;0.00000000
5;16866;0.00000212;0.00000000
6;20835;0.00002540;0.00000000
7;23811;0.00013867;0.00000000
8;27780;0.00009855;0.00000000
9;30756;0.00003060;0.00000000
10;34725;0.00032721;0.00000000
11;37701;0.00008720;0.00000000
12;40677;0.00015674;0.00000000
13;44646;0.00036368;0.00000000
14;47622;0.00000482;0.00000000
15;50598;0.00003060;0.00000000
16;54567;0.00016411;0.00000000
17;57543;0.00008720;0.00000000
18;61512;0.00035705;0.00000000
19;64488;0.00003060;0.00000000
20;68457;0.00040132;0.00000000
21;71433;0.00015674;0.00000000
22;74409;0.00010578;0.00000000
23;78378;0.00058395;0.00000000
24;81354;0.00007628;0.00000000
25;85323;0.00016230;0.00000000
