id;type;duration_sec;file
a;vowel/allophone;0.18;phonemes/a.wav
ae;vowel/allophone;0.18;phonemes/ae.wav
aa;vowel/allophone;0.18;phonemes/aa.wav
schwa;vowel/allophone;0.18;phonemes/schwa.wav
e;vowel/allophone;0.18;phonemes/e.wav
eps;vowel/allophone;0.18;phonemes/eps.wav
i;vowel/allophone;0.18;phonemes/i.wav
y;vowel/allophone;0.18;phonemes/y.wav
o;vowel/allophone;0.18;phonemes/o.wav
oe;vowel/allophone;0.18;phonemes/oe.wav
u;vowel/allophone;0.18;phonemes/u.wav
uu;vowel/allophone;0.18;phonemes/uu.wav
red_a;vowel/allophone;0.18;phonemes/red_a.wav
red_i;vowel/allophone;0.18;phonemes/red_i.wav
red_y;vowel/allophone;0.18;phonemes/red_y.wav
red_u;vowel/allophone;0.18;phonemes/red_u.wav
j_i;vowel/allophone;0.18;phonemes/j_i.wav
j_u;vowel/allophone;0.18;phonemes/j_u.wav
nos_a;vowel/allophone;0.18;phonemes/nos_a.wav
soft_a;vowel/allophone;0.18;phonemes/soft_a.wav
soft_o;vowel/allophone;0.18;phonemes/soft_o.wav
soft_u;vowel/allophone;0.18;phonemes/soft_u.wav
soft_e;vowel/allophone;0.18;phonemes/soft_e.wav
b;consonant;0.1349659863945578;phonemes/b.wav
bj;consonant;0.1349659863945578;phonemes/bj.wav
v;consonant;0.1349659863945578;phonemes/v.wav
vj;consonant;0.1349659863945578;phonemes/vj.wav
g;consonant;0.1349659863945578;phonemes/g.wav
gj;consonant;0.1349659863945578;phonemes/gj.wav
d;consonant;0.1349659863945578;phonemes/d.wav
dj;consonant;0.1349659863945578;phonemes/dj.wav
zh;consonant;0.1349659863945578;phonemes/zh.wav
zhj;consonant;0.1619954648526077;phonemes/zhj.wav
z;consonant;0.1349659863945578;phonemes/z.wav
zj;consonant;0.1349659863945578;phonemes/zj.wav
j;consonant;0.1349659863945578;phonemes/j.wav
k;consonant;0.1349659863945578;phonemes/k.wav
kj;consonant;0.1349659863945578;phonemes/kj.wav
l;consonant;0.1349659863945578;phonemes/l.wav
lj;consonant;0.1349659863945578;phonemes/lj.wav
m;consonant;0.1349659863945578;phonemes/m.wav
mj;consonant;0.1349659863945578;phonemes/mj.wav
n;consonant;0.1349659863945578;phonemes/n.wav
nj;consonant;0.1349659863945578;phonemes/nj.wav
p;consonant;0.1349659863945578;phonemes/p.wav
pj;consonant;0.1349659863945578;phonemes/pj.wav
r;consonant;0.1349659863945578;phonemes/r.wav
rj;consonant;0.1349659863945578;phonemes/rj.wav
s;consonant;0.1349659863945578;phonemes/s.wav
sj;consonant;0.1349659863945578;phonemes/sj.wav
t;consonant;0.1349659863945578;phonemes/t.wav
tj;consonant;0.1349659863945578;phonemes/tj.wav
f;consonant;0.1349659863945578;phonemes/f.wav
fj;consonant;0.1349659863945578;phonemes/fj.wav
h;consonant;0.1349659863945578;phonemes/h.wav
hj;consonant;0.1349659863945578;phonemes/hj.wav
gh;consonant;0.1349659863945578;phonemes/gh.wav
dz;consonant;0.1349659863945578;phonemes/dz.wav
ch;consonant;0.1349659863945578;phonemes/ch.wav
dzh;consonant;0.1619954648526077;phonemes/dzh.wav
ts;consonant;0.1349659863945578;phonemes/ts.wav
sh;consonant;0.1349659863945578;phonemes/sh.wav
sch;consonant;0.1619954648526077;phonemes/sch.wav
